id,category,task_type,source,language,domain,is_ip,ip_type,novelty_score
IPE_000066,patent,knowledge_extraction,research_paper,de,pharmaceutical,True,patent,0.772
IPE_000067,patent,entity_recognition,meeting_minutes,en,aerospace,True,patent,0.915
IPE_000068,patent,entity_recognition,legal_document,fr,energy,True,patent,0.755
IPE_000069,patent,relation_extraction,patent_application,de,biotechnology,True,patent,0.86
IPE_000070,patent,relation_extraction,research_paper,de,pharmaceutical,True,patent,0.861
IPE_000071,patent,ip_detection,patent_application,es,pharmaceutical,True,patent,0.785
IPE_000072,patent,relation_extraction,research_paper,en,manufacturing,True,patent,0.882
IPE_000073,patent,relation_extraction,meeting_minutes,ja,aerospace,True,patent,0.803
IPE_000074,patent,relation_extraction,legal_document,ja,biotechnology,True,patent,0.793
IPE_000075,patent,ip_detection,patent_application,de,pharmaceutical,True,patent,0.916
IPE_000076,patent,ip_detection,legal_document,ja,software,True,patent,0.934
IPE_000077,patent,knowledge_extraction,legal_document,ja,biotechnology,True,patent,0.776
IPE_000078,patent,relation_extraction,patent_application,zh,pharmaceutical,True,patent,0.929
IPE_000079,patent,relation_extraction,technical_report,es,manufacturing,True,patent,0.837
IPE_000080,patent,relation_extraction,patent_application,es,energy,True,patent,0.859
IPE_000081,patent,relation_extraction,patent_application,es,energy,True,patent,0.884
IPE_000082,patent,ip_detection,technical_report,fr,energy,True,patent,0.78
IPE_000083,patent,relation_extraction,legal_document,de,energy,True,patent,0.827
IPE_000084,patent,ip_detection,meeting_minutes,en,biotechnology,True,patent,0.915
IPE_000085,patent,entity_recognition,patent_application,de,biotechnology,True,patent,0.753
IPE_000086,patent,relation_extraction,legal_document,en,aerospace,True,patent,0.932
IPE_000087,patent,ip_detection,technical_report,ja,biotechnology,True,patent,0.871
IPE_000088,patent,relation_extraction,meeting_minutes,zh,manufacturing,True,patent,0.933
IPE_000089,patent,ip_detection,research_paper,ja,energy,True,patent,0.941
IPE_000090,patent,ip_detection,legal_document,ja,biotechnology,True,patent,0.773
IPE_000091,patent,relation_extraction,meeting_minutes,zh,manufacturing,True,patent,0.785
IPE_000092,patent,knowledge_extraction,research_paper,ja,energy,True,patent,0.772
IPE_000093,patent,ip_detection,research_paper,ja,biotechnology,True,patent,0.803
IPE_000094,patent,relation_extraction,technical_report,zh,energy,True,patent,0.796
IPE_000095,patent,ip_detection,research_paper,fr,automotive,True,patent,0.813
IPE_000096,patent,relation_extraction,research_paper,ja,aerospace,True,patent,0.911
IPE_000097,patent,relation_extraction,research_paper,en,aerospace,True,patent,0.863
IPE_000098,patent,ip_detection,research_paper,ja,manufacturing,True,patent,0.907
IPE_000099,patent,ip_detection,research_paper,de,automotive,True,patent,0.853
IPE_000100,patent,entity_recognition,technical_report,en,biotechnology,True,patent,0.86
IPE_000101,patent,entity_recognition,legal_document,de,manufacturing,True,patent,0.792
IPE_000102,patent,entity_recognition,legal_document,es,manufacturing,True,patent,0.822
IPE_000103,patent,knowledge_extraction,legal_document,en,automotive,True,patent,0.866
IPE_000104,patent,entity_recognition,legal_document,fr,pharmaceutical,True,patent,0.827
IPE_000105,patent,knowledge_extraction,research_paper,es,biotechnology,True,patent,0.769
IPE_000106,patent,relation_extraction,meeting_minutes,ja,biotechnology,True,patent,0.942
IPE_000107,patent,ip_detection,technical_report,ja,aerospace,True,patent,0.824
IPE_000108,patent,ip_detection,research_paper,en,manufacturing,True,patent,0.856
IPE_000109,patent,relation_extraction,legal_document,fr,automotive,True,patent,0.869
IPE_000110,patent,entity_recognition,research_paper,ja,aerospace,True,patent,0.786
IPE_000111,patent,knowledge_extraction,research_paper,es,software,True,patent,0.855
IPE_000112,patent,entity_recognition,technical_report,ja,software,True,patent,0.825
IPE_000113,patent,ip_detection,research_paper,zh,pharmaceutical,True,patent,0.946
IPE_000114,patent,knowledge_extraction,technical_report,es,manufacturing,True,patent,0.856
IPE_000115,patent,entity_recognition,legal_document,en,energy,True,patent,0.811
IPE_000116,patent,knowledge_extraction,research_paper,en,energy,True,patent,0.868
IPE_000117,patent,knowledge_extraction,patent_application,fr,energy,True,patent,0.916
IPE_000118,patent,ip_detection,meeting_minutes,en,energy,True,patent,0.803
IPE_000119,patent,relation_extraction,technical_report,ja,automotive,True,patent,0.772
IPE_000120,patent,relation_extraction,research_paper,zh,pharmaceutical,True,patent,0.926
IPE_000121,patent,entity_recognition,legal_document,ja,pharmaceutical,True,patent,0.856
IPE_000122,patent,ip_detection,technical_report,es,automotive,True,patent,0.899
IPE_000123,patent,relation_extraction,research_paper,ja,biotechnology,True,patent,0.908
IPE_000124,patent,relation_extraction,patent_application,fr,pharmaceutical,True,patent,0.852
IPE_000125,patent,entity_recognition,meeting_minutes,de,pharmaceutical,True,patent,0.753
IPE_000126,patent,ip_detection,research_paper,ja,automotive,True,patent,0.8
IPE_000127,patent,relation_extraction,patent_application,zh,aerospace,True,patent,0.797
IPE_000128,patent,ip_detection,patent_application,es,pharmaceutical,True,patent,0.839
IPE_000129,patent,knowledge_extraction,patent_application,fr,software,True,patent,0.787
IPE_000130,patent,knowledge_extraction,research_paper,es,software,True,patent,0.758
IPE_000131,patent,ip_detection,research_paper,de,automotive,True,patent,0.855
IPE_000132,patent,knowledge_extraction,technical_report,zh,aerospace,True,patent,0.778
IPE_000133,patent,relation_extraction,research_paper,fr,automotive,True,patent,0.878
IPE_000134,patent,knowledge_extraction,patent_application,en,software,True,patent,0.759
IPE_000135,patent,relation_extraction,technical_report,de,biotechnology,True,patent,0.763
IPE_000136,patent,relation_extraction,patent_application,zh,biotechnology,True,patent,0.761
IPE_000137,patent,knowledge_extraction,patent_application,zh,manufacturing,True,patent,0.863
IPE_000138,patent,ip_detection,patent_application,de,energy,True,patent,0.855
IPE_000139,patent,relation_extraction,meeting_minutes,en,energy,True,patent,0.932
IPE_000140,patent,ip_detection,patent_application,fr,energy,True,patent,0.85
IPE_000141,patent,knowledge_extraction,patent_application,es,biotechnology,True,patent,0.765
IPE_000142,patent,relation_extraction,meeting_minutes,de,manufacturing,True,patent,0.922
IPE_000143,patent,relation_extraction,meeting_minutes,ja,aerospace,True,patent,0.906
IPE_000144,patent,entity_recognition,meeting_minutes,fr,software,True,patent,0.779
IPE_000145,patent,knowledge_extraction,technical_report,ja,software,True,patent,0.895
IPE_000146,patent,ip_detection,meeting_minutes,ja,energy,True,patent,0.884
IPE_000147,patent,entity_recognition,meeting_minutes,es,energy,True,patent,0.857
IPE_000148,patent,ip_detection,technical_report,zh,aerospace,True,patent,0.851
IPE_000149,patent,knowledge_extraction,technical_report,ja,automotive,True,patent,0.867
IPE_000150,patent,ip_detection,technical_report,en,energy,True,patent,0.785
IPE_000151,patent,relation_extraction,patent_application,en,software,True,patent,0.847
IPE_000152,patent,entity_recognition,patent_application,de,automotive,True,patent,0.87
IPE_000153,patent,relation_extraction,research_paper,zh,manufacturing,True,patent,0.876
IPE_000154,patent,entity_recognition,legal_document,es,aerospace,True,patent,0.922
IPE_000155,patent,entity_recognition,research_paper,zh,aerospace,True,patent,0.913
IPE_000156,patent,relation_extraction,meeting_minutes,es,software,True,patent,0.851
IPE_000157,patent,entity_recognition,legal_document,de,pharmaceutical,True,patent,0.853
IPE_000158,patent,relation_extraction,patent_application,en,aerospace,True,patent,0.81
IPE_000159,patent,knowledge_extraction,meeting_minutes,ja,biotechnology,True,patent,0.827
IPE_000160,patent,relation_extraction,meeting_minutes,ja,aerospace,True,patent,0.851
IPE_000161,patent,knowledge_extraction,meeting_minutes,fr,manufacturing,True,patent,0.916
IPE_000162,patent,knowledge_extraction,patent_application,fr,automotive,True,patent,0.888
IPE_000163,patent,entity_recognition,patent_application,zh,aerospace,True,patent,0.793
IPE_000164,patent,ip_detection,technical_report,fr,automotive,True,patent,0.795
IPE_000165,patent,ip_detection,research_paper,de,software,True,patent,0.877
IPE_000166,patent,knowledge_extraction,meeting_minutes,fr,energy,True,patent,0.827
IPE_000167,patent,entity_recognition,research_paper,ja,pharmaceutical,True,patent,0.791
IPE_000168,patent,entity_recognition,patent_application,fr,manufacturing,True,patent,0.831
IPE_000169,patent,entity_recognition,research_paper,de,pharmaceutical,True,patent,0.789
IPE_000170,patent,knowledge_extraction,patent_application,es,aerospace,True,patent,0.795
IPE_000171,patent,ip_detection,technical_report,zh,energy,True,patent,0.893
IPE_000172,patent,entity_recognition,research_paper,es,software,True,patent,0.913
IPE_000173,patent,ip_detection,legal_document,fr,software,True,patent,0.934
IPE_000174,patent,knowledge_extraction,research_paper,de,software,True,patent,0.805
IPE_000175,patent,knowledge_extraction,technical_report,es,biotechnology,True,patent,0.878
IPE_000176,patent,relation_extraction,research_paper,en,energy,True,patent,0.795
IPE_000177,patent,relation_extraction,research_paper,fr,aerospace,True,patent,0.934
IPE_000178,patent,ip_detection,research_paper,de,manufacturing,True,patent,0.762
IPE_000179,patent,relation_extraction,legal_document,en,biotechnology,True,patent,0.914
IPE_000180,patent,ip_detection,meeting_minutes,es,manufacturing,True,patent,0.915
IPE_000181,patent,entity_recognition,research_paper,zh,manufacturing,True,patent,0.89
IPE_000182,patent,knowledge_extraction,patent_application,de,automotive,True,patent,0.915
IPE_000183,patent,relation_extraction,technical_report,zh,biotechnology,True,patent,0.899
IPE_000184,patent,ip_detection,legal_document,zh,automotive,True,patent,0.854
IPE_000185,patent,entity_recognition,legal_document,es,automotive,True,patent,0.777
IPE_000186,patent,ip_detection,patent_application,de,energy,True,patent,0.822
IPE_000187,patent,ip_detection,legal_document,zh,biotechnology,True,patent,0.816
IPE_000188,patent,ip_detection,technical_report,zh,biotechnology,True,patent,0.828
IPE_000189,patent,ip_detection,research_paper,es,pharmaceutical,True,patent,0.76
IPE_000190,patent,entity_recognition,patent_application,fr,automotive,True,patent,0.93
IPE_000191,patent,relation_extraction,research_paper,en,energy,True,patent,0.932
IPE_000192,patent,ip_detection,meeting_minutes,en,biotechnology,True,patent,0.81
IPE_000193,patent,knowledge_extraction,technical_report,de,manufacturing,True,patent,0.898
IPE_000194,patent,entity_recognition,legal_document,de,software,True,patent,0.859
IPE_000195,patent,entity_recognition,research_paper,es,aerospace,True,patent,0.85
IPE_000196,patent,ip_detection,technical_report,ja,automotive,True,patent,0.947
IPE_000197,patent,knowledge_extraction,legal_document,fr,software,True,patent,0.863
IPE_000198,patent,relation_extraction,patent_application,zh,biotechnology,True,patent,0.85
IPE_000199,patent,ip_detection,patent_application,fr,biotechnology,True,patent,0.8
IPE_000200,patent,ip_detection,meeting_minutes,zh,pharmaceutical,True,patent,0.943
IPE_000201,patent,ip_detection,patent_application,fr,automotive,True,patent,0.762
IPE_000202,patent,knowledge_extraction,technical_report,ja,biotechnology,True,patent,0.826
IPE_000203,patent,relation_extraction,meeting_minutes,zh,software,True,patent,0.777
IPE_000204,patent,knowledge_extraction,technical_report,de,biotechnology,True,patent,0.894
IPE_000205,patent,entity_recognition,patent_application,fr,automotive,True,patent,0.855
IPE_000206,patent,ip_detection,technical_report,en,software,True,patent,0.862
IPE_000207,patent,relation_extraction,meeting_minutes,en,automotive,True,patent,0.883
IPE_000208,patent,ip_detection,research_paper,de,biotechnology,True,patent,0.93
IPE_000209,patent,ip_detection,patent_application,zh,aerospace,True,patent,0.925
IPE_000210,patent,ip_detection,research_paper,fr,aerospace,True,patent,0.942
IPE_000211,patent,entity_recognition,research_paper,de,energy,True,patent,0.943
IPE_000212,patent,ip_detection,legal_document,zh,manufacturing,True,patent,0.765
IPE_000213,patent,knowledge_extraction,legal_document,ja,software,True,patent,0.871
IPE_000214,patent,knowledge_extraction,meeting_minutes,fr,pharmaceutical,True,patent,0.86
IPE_000215,patent,knowledge_extraction,meeting_minutes,es,pharmaceutical,True,patent,0.765
IPE_000216,patent,knowledge_extraction,meeting_minutes,zh,manufacturing,True,patent,0.81
IPE_000217,patent,knowledge_extraction,technical_report,zh,manufacturing,True,patent,0.949
IPE_000218,patent,ip_detection,meeting_minutes,fr,automotive,True,patent,0.76
IPE_000219,patent,entity_recognition,research_paper,de,aerospace,True,patent,0.823
IPE_000220,patent,entity_recognition,legal_document,de,pharmaceutical,True,patent,0.924
IPE_000221,patent,knowledge_extraction,research_paper,de,automotive,True,patent,0.837
IPE_000222,patent,relation_extraction,research_paper,de,biotechnology,True,patent,0.89
IPE_000223,patent,ip_detection,patent_application,en,pharmaceutical,True,patent,0.795
IPE_000224,patent,entity_recognition,legal_document,en,biotechnology,True,patent,0.86
IPE_000225,patent,knowledge_extraction,legal_document,ja,aerospace,True,patent,0.859
IPE_000226,patent,relation_extraction,research_paper,zh,automotive,True,patent,0.902
IPE_000227,patent,relation_extraction,patent_application,es,software,True,patent,0.854
IPE_000228,patent,entity_recognition,patent_application,zh,automotive,True,patent,0.818
IPE_000229,patent,entity_recognition,meeting_minutes,en,aerospace,True,patent,0.947
IPE_000230,patent,relation_extraction,patent_application,fr,aerospace,True,patent,0.932
IPE_000231,patent,entity_recognition,research_paper,es,manufacturing,True,patent,0.943
IPE_000232,patent,relation_extraction,legal_document,ja,energy,True,patent,0.866
IPE_000233,patent,ip_detection,research_paper,fr,energy,True,patent,0.83
IPE_000234,patent,entity_recognition,legal_document,de,manufacturing,True,patent,0.835
IPE_000235,patent,knowledge_extraction,meeting_minutes,en,manufacturing,True,patent,0.926
IPE_000236,patent,knowledge_extraction,patent_application,zh,automotive,True,patent,0.814
IPE_000237,patent,relation_extraction,technical_report,de,energy,True,patent,0.805
IPE_000238,patent,ip_detection,legal_document,es,biotechnology,True,patent,0.882
IPE_000239,patent,entity_recognition,patent_application,es,aerospace,True,patent,0.807
IPE_000240,patent,ip_detection,technical_report,de,aerospace,True,patent,0.91
IPE_000241,patent,ip_detection,research_paper,zh,aerospace,True,patent,0.873
IPE_000242,patent,entity_recognition,meeting_minutes,en,aerospace,True,patent,0.83
IPE_000243,patent,ip_detection,legal_document,zh,manufacturing,True,patent,0.849
IPE_000244,patent,entity_recognition,technical_report,es,aerospace,True,patent,0.889
IPE_000245,patent,entity_recognition,legal_document,es,manufacturing,True,patent,0.942
IPE_000246,patent,entity_recognition,research_paper,en,manufacturing,True,patent,0.874
IPE_000247,patent,knowledge_extraction,legal_document,es,energy,True,patent,0.785
IPE_000248,patent,knowledge_extraction,patent_application,zh,aerospace,True,patent,0.883
IPE_000249,patent,ip_detection,research_paper,en,pharmaceutical,True,patent,0.768
IPE_000250,patent,ip_detection,meeting_minutes,ja,pharmaceutical,True,patent,0.793
IPE_000251,patent,knowledge_extraction,research_paper,en,manufacturing,True,patent,0.914
IPE_000252,patent,ip_detection,patent_application,es,manufacturing,True,patent,0.9
IPE_000253,patent,knowledge_extraction,research_paper,es,pharmaceutical,True,patent,0.86
IPE_000254,patent,relation_extraction,patent_application,de,biotechnology,True,patent,0.949
IPE_000255,patent,knowledge_extraction,research_paper,de,manufacturing,True,patent,0.847
IPE_000256,patent,ip_detection,technical_report,es,biotechnology,True,patent,0.946
IPE_000257,patent,relation_extraction,legal_document,es,biotechnology,True,patent,0.812
IPE_000258,patent,knowledge_extraction,patent_application,en,pharmaceutical,True,patent,0.821
IPE_000259,patent,ip_detection,legal_document,en,software,True,patent,0.788
IPE_000260,patent,relation_extraction,research_paper,es,energy,True,patent,0.791
IPE_000261,patent,knowledge_extraction,meeting_minutes,de,aerospace,True,patent,0.796
IPE_000262,patent,knowledge_extraction,legal_document,es,biotechnology,True,patent,0.851
IPE_000263,patent,ip_detection,research_paper,ja,energy,True,patent,0.778
IPE_000264,patent,relation_extraction,legal_document,zh,pharmaceutical,True,patent,0.786
IPE_000265,patent,entity_recognition,legal_document,en,aerospace,True,patent,0.835
IPE_000266,patent,knowledge_extraction,technical_report,en,aerospace,True,patent,0.924
IPE_000267,patent,ip_detection,technical_report,fr,pharmaceutical,True,patent,0.759
IPE_000268,patent,ip_detection,patent_application,ja,aerospace,True,patent,0.896
IPE_000269,patent,ip_detection,legal_document,es,manufacturing,True,patent,0.806
IPE_000270,patent,relation_extraction,legal_document,es,aerospace,True,patent,0.831
IPE_000271,patent,entity_recognition,patent_application,ja,energy,True,patent,0.876
IPE_000272,patent,knowledge_extraction,legal_document,es,aerospace,True,patent,0.922
IPE_000273,patent,ip_detection,technical_report,de,energy,True,patent,0.803
IPE_000274,patent,ip_detection,technical_report,en,manufacturing,True,patent,0.919
IPE_000275,patent,relation_extraction,research_paper,en,automotive,True,patent,0.818
IPE_000276,patent,entity_recognition,patent_application,fr,aerospace,True,patent,0.829
IPE_000277,patent,relation_extraction,legal_document,es,manufacturing,True,patent,0.799
IPE_000278,patent,relation_extraction,meeting_minutes,fr,manufacturing,True,patent,0.814
IPE_000279,patent,entity_recognition,meeting_minutes,es,aerospace,True,patent,0.789
IPE_000280,patent,knowledge_extraction,research_paper,de,pharmaceutical,True,patent,0.911
IPE_000281,patent,relation_extraction,technical_report,de,manufacturing,True,patent,0.78
IPE_000282,patent,ip_detection,legal_document,ja,pharmaceutical,True,patent,0.798
IPE_000283,patent,ip_detection,meeting_minutes,fr,biotechnology,True,patent,0.935
IPE_000284,patent,knowledge_extraction,legal_document,ja,automotive,True,patent,0.864
IPE_000285,patent,ip_detection,legal_document,fr,pharmaceutical,True,patent,0.942
IPE_000286,patent,entity_recognition,meeting_minutes,es,software,True,patent,0.785
IPE_000287,patent,ip_detection,patent_application,de,biotechnology,True,patent,0.77
IPE_000288,patent,knowledge_extraction,technical_report,zh,aerospace,True,patent,0.751
IPE_000289,patent,relation_extraction,legal_document,fr,pharmaceutical,True,patent,0.767
IPE_000290,patent,entity_recognition,technical_report,ja,aerospace,True,patent,0.942
IPE_000291,patent,entity_recognition,technical_report,zh,energy,True,patent,0.758
IPE_000292,patent,entity_recognition,meeting_minutes,en,software,True,patent,0.884
IPE_000293,patent,ip_detection,research_paper,zh,manufacturing,True,patent,0.775
IPE_000294,patent,entity_recognition,meeting_minutes,fr,pharmaceutical,True,patent,0.877
IPE_000295,patent,relation_extraction,meeting_minutes,fr,pharmaceutical,True,patent,0.948
IPE_000296,patent,relation_extraction,technical_report,zh,aerospace,True,patent,0.764
IPE_000297,patent,entity_recognition,legal_document,ja,software,True,patent,0.85
IPE_000298,patent,entity_recognition,patent_application,fr,pharmaceutical,True,patent,0.876
IPE_000299,patent,ip_detection,meeting_minutes,ja,pharmaceutical,True,patent,0.86
IPE_000300,patent,relation_extraction,technical_report,ja,software,True,patent,0.9
IPE_000301,patent,entity_recognition,patent_application,fr,aerospace,True,patent,0.904
IPE_000302,patent,relation_extraction,meeting_minutes,es,software,True,patent,0.784
IPE_000303,patent,entity_recognition,patent_application,zh,energy,True,patent,0.846
IPE_000304,patent,entity_recognition,legal_document,de,manufacturing,True,patent,0.908
IPE_000305,patent,ip_detection,legal_document,es,software,True,patent,0.858
IPE_000306,patent,knowledge_extraction,meeting_minutes,fr,manufacturing,True,patent,0.779
IPE_000307,patent,ip_detection,research_paper,ja,pharmaceutical,True,patent,0.912
IPE_000308,patent,knowledge_extraction,meeting_minutes,zh,software,True,patent,0.77
IPE_000309,patent,entity_recognition,legal_document,ja,manufacturing,True,patent,0.837
IPE_000310,patent,entity_recognition,legal_document,ja,manufacturing,True,patent,0.752
IPE_000311,patent,relation_extraction,patent_application,ja,energy,True,patent,0.824
IPE_000312,patent,knowledge_extraction,patent_application,es,software,True,patent,0.909
IPE_000313,patent,ip_detection,patent_application,ja,software,True,patent,0.82
IPE_000314,patent,entity_recognition,meeting_minutes,es,biotechnology,True,patent,0.759
IPE_000315,patent,ip_detection,meeting_minutes,fr,pharmaceutical,True,patent,0.795
IPE_000316,patent,entity_recognition,patent_application,fr,software,True,patent,0.899
IPE_000317,patent,knowledge_extraction,legal_document,zh,software,True,patent,0.839
IPE_000318,patent,ip_detection,meeting_minutes,en,energy,True,patent,0.861
IPE_000319,patent,entity_recognition,meeting_minutes,es,automotive,True,patent,0.892
IPE_000320,patent,relation_extraction,meeting_minutes,de,software,True,patent,0.752
IPE_000321,patent,entity_recognition,research_paper,fr,manufacturing,True,patent,0.834
IPE_000322,patent,ip_detection,research_paper,es,automotive,True,patent,0.882
IPE_000323,patent,relation_extraction,patent_application,de,energy,True,patent,0.778
IPE_000324,patent,relation_extraction,technical_report,en,pharmaceutical,True,patent,0.876
IPE_000325,patent,knowledge_extraction,research_paper,ja,manufacturing,True,patent,0.782
IPE_000326,patent,relation_extraction,meeting_minutes,de,manufacturing,True,patent,0.889
IPE_000327,patent,knowledge_extraction,research_paper,en,biotechnology,True,patent,0.919
IPE_000328,patent,ip_detection,research_paper,de,aerospace,True,patent,0.776
IPE_000329,patent,ip_detection,legal_document,es,automotive,True,patent,0.869
IPE_000330,patent,entity_recognition,patent_application,en,biotechnology,True,patent,0.945
IPE_000331,patent,knowledge_extraction,research_paper,fr,software,True,patent,0.9
IPE_000332,patent,ip_detection,research_paper,zh,manufacturing,True,patent,0.813
IPE_000333,patent,ip_detection,patent_application,ja,pharmaceutical,True,patent,0.878
IPE_000334,patent,entity_recognition,technical_report,ja,software,True,patent,0.825
IPE_000335,patent,knowledge_extraction,technical_report,fr,energy,True,patent,0.934
IPE_000336,patent,entity_recognition,meeting_minutes,fr,pharmaceutical,True,patent,0.762
IPE_000337,patent,entity_recognition,research_paper,ja,manufacturing,True,patent,0.852
IPE_000338,patent,relation_extraction,legal_document,zh,aerospace,True,patent,0.904
IPE_000339,patent,ip_detection,technical_report,ja,automotive,True,patent,0.874
IPE_000340,patent,ip_detection,patent_application,zh,automotive,True,patent,0.789
IPE_000341,patent,entity_recognition,patent_application,ja,aerospace,True,patent,0.88
IPE_000342,patent,knowledge_extraction,meeting_minutes,es,aerospace,True,patent,0.845
IPE_000343,patent,relation_extraction,legal_document,fr,manufacturing,True,patent,0.811
IPE_000344,patent,knowledge_extraction,meeting_minutes,de,biotechnology,True,patent,0.902
IPE_000345,patent,ip_detection,technical_report,de,energy,True,patent,0.78
IPE_000346,patent,relation_extraction,patent_application,fr,pharmaceutical,True,patent,0.841
IPE_000347,patent,ip_detection,meeting_minutes,es,software,True,patent,0.944
IPE_000348,patent,entity_recognition,legal_document,zh,pharmaceutical,True,patent,0.805
IPE_000349,patent,knowledge_extraction,meeting_minutes,es,energy,True,patent,0.776
IPE_000350,patent,entity_recognition,legal_document,de,energy,True,patent,0.774
IPE_000351,patent,knowledge_extraction,research_paper,es,aerospace,True,patent,0.853
